"","state","coc_code","coc","city","coc_total_population_zillow_2017","pit_2017_homeless_count","estimated_homeless_rate_percent_zillow_2017","pit_sheltered_total_homeless_2017","pit_unsheltered_homeless_2017","total_beds","difference","total_laws","citywide","particular_places","none","unclear","sleeping_in_public","camping_in_public","sitting_laying_in_public","living_in_vehicle","loitering_vagrancy","begging","food_sharing_ban","public_urination","public_intoxication"
"1","ak","ak-500","anchorage coc","anchorage",299535,1128,0.41,973,155,1023,-105,5,5,0,4,0,"citywide","citywide","citywide","none","none","citywide","none","citywide","none"
"2","ca","ca-500","san jose/santa clara city & county coc","san jose",1901963,7394,0.53,1946,5448,1652,-5742,5,3,2,4,0,"none","none","citywide","only in particular places","citywide","none","none","citywide","only in particular places"
"3","ca","ca-501","san francisco coc","san francisco",859801,6858,1.03,2505,4353,2759,-4099,8,3,5,0,1,"only in particular places","only in particular places","only in particular places","citywide","only in particular places","citywide","unclear","citywide","only in particular places"
"4","ca","ca-502","oakland/alameda county coc","oakland",1625451,5629,0.43,1766,3863,1636,-3993,9,7,2,0,0,"citywide","citywide","citywide","citywide","only in particular places","only in particular places","citywide","citywide","citywide"
"5","ca","ca-504","santa rosa/petaluma/sonoma county coc","santa rosa",500474,2835,0.8,988,1847,936,-1899,6,6,0,2,1,"none","citywide","citywide","citywide","unclear","citywide","none","citywide","citywide"
"6","ca","ca-505","richmond/contra costa county coc","concord",1119782,1607,0.21,696,911,677,-930,6,6,0,3,0,"none","citywide","none","citywide","citywide","citywide","none","citywide","citywide"
"7","ca","ca-506","salinas/monterey, san benito counties coc","salinas",490506,3364,0.95,850,2514,882,-2482,6,3,3,3,0,"none","only in particular places","none","only in particular places","only in particular places","citywide","none","citywide","citywide"
"8","ca","ca-508","watsonville/santa cruz city & county coc","santa cruz",272584,2249,1.16,450,1799,482,-1767,5,5,0,1,3,"unclear","citywide","citywide","citywide","unclear","unclear","none","citywide","citywide"
"9","ca","ca-509","mendocino county coc","ukiah",87274,1238,2.13,160,1078,138,-1100,7,2,5,2,0,"none","only in particular places","only in particular places","only in particular places","only in particular places","citywide","none","only in particular places","citywide"
"10","ca","ca-519","chico/paradise/butte county coc","chico",225190,1195,0.68,450,745,463,-732,6,5,1,1,2,"citywide","citywide","citywide","unclear","citywide","only in particular places","none","unclear","citywide"
"11","ca","ca-522","humboldt county coc","eureka",135330,759,0.83,325,434,398,-361,6,3,3,2,1,"none","only in particular places","only in particular places","citywide","only in particular places","citywide","unclear","none","citywide"
"12","ca","ca-523","colusa, glenn, trinity counties coc","orland (glenn)",62236,176,0.39,43,133,88,-88,3,2,1,4,2,"none","none","none","unclear","citywide","unclear","none","citywide","only in particular places"
"13","ca","ca-524","yuba city & county/sutter county coc","marysville",169922,760,0.52,287,473,294,-466,6,5,1,1,2,"citywide","citywide","citywide","citywide","unclear","unclear","none","citywide","only in particular places"
"14","ca","ca-526","amador, calaveras, tuolumne and mariposa counties coc","ione",152888,367,0.37,103,264,154,-213,2,2,0,5,2,"none","unclear","none","citywide","unclear","none","none","none","citywide"
"15","ca","ca-600","los angeles city & county coc","los angeles",9264635,55188,0.79,13972,38470,15225,-39963,8,4,4,1,0,"citywide","only in particular places","citywide","only in particular places","only in particular places","citywide","none","citywide","only in particular places"
"16","ca","ca-601","san diego city and county coc","san diego",3283616,9160,0.37,3539,5621,3722,-5438,5,4,1,3,1,"none","citywide","citywide","only in particular places","citywide","none","none","citywide","unclear"
"17","ca","ca-606","long beach coc","long beach",474605,1863,0.51,655,1208,600,-1263,7,3,4,2,0,"none","citywide","only in particular places","citywide","only in particular places","citywide","none","only in particular places","only in particular places"
"18","ca","ca-607","pasadena coc","pasadena",137876,575,0.57,228,347,163,-412,7,4,3,0,2,"unclear","only in particular places","citywide","only in particular places","only in particular places","citywide","unclear","citywide","citywide"
"19","ca","ca-614","san luis obispo county coc","san luis obispo",280843,1125,0.67,303,822,253,-872,7,5,2,2,0,"citywide","only in particular places","citywide","only in particular places","citywide","none","none","citywide","citywide"
"20","dc","dc-500","district of columbia coc","washington, d.c.",670534,7473,1.2,6576,897,7402,-71,7,6,1,0,2,"only in particular places","citywide","citywide","unclear","citywide","citywide","unclear","citywide","citywide"
"21","fl","fl-502","st. petersburg/clearwater/largo/pinellas county coc","st. petersburg",947619,2831,0.41,1679,1152,2047,-784,5,4,1,4,0,"citywide","citywide","citywide","none","none","only in particular places","none","citywide","none"
"22","fl","fl-504","daytona beach/daytona/volusia, flagler counties coc","daytona beach",622944,753,0.17,305,448,449,-304,7,6,1,2,0,"citywide","only in particular places","none","citywide","citywide","citywide","none","citywide","citywide"
